Wavelength_Angs Flux(erg/s/cm2/A)
3.673398125154651552e+03 1.109439972788095474e-02
3.674244053718402483e+03 1.097569987177848816e-02
3.675090177086826316e+03 1.093889959156513214e-02
3.675936495304791151e+03 1.099519990384578705e-02
3.676783008417161000e+03 1.089060027152299881e-02
3.677629716468823972e+03 1.061629969626665115e-02
3.678476619504664995e+03 1.048429962247610092e-02
3.679323717569592645e+03 1.045409962534904480e-02
3.680171010708512313e+03 1.042340043932199478e-02
3.681018498966353945e+03 1.037889998406171799e-02
3.681866182388042489e+03 1.054759975522756577e-02
3.682714061018529719e+03 1.073050033301115036e-02
3.683562134902764683e+03 1.086250040680170059e-02
3.684410404085707796e+03 1.081559993326663971e-02
3.685258868612341757e+03 1.062699966132640839e-02
3.686107528527642444e+03 1.042409986257553101e-02
3.686956383876613472e+03 1.035180035978555679e-02
3.687805434704252548e+03 1.037709973752498627e-02
3.688654681055582842e+03 1.042590010911226273e-02
3.689504122975622977e+03 1.060550007969141006e-02
3.690353760509417498e+03 1.083610020577907562e-02
3.691203593702005037e+03 1.120369974523782730e-02
3.692053622598451057e+03 1.133240014314651489e-02
3.692903847243815108e+03 1.127319969236850739e-02
3.693754267683183116e+03 1.109359972178936005e-02
3.694604883961636006e+03 1.081409957259893417e-02
3.695455696124280166e+03 1.075970008969306946e-02
3.696306704216217440e+03 1.082659978419542313e-02
3.697157908282574226e+03 1.086059957742691040e-02
3.698009308368473285e+03 1.098349969834089279e-02
3.698860904519062842e+03 1.114820037037134171e-02
3.699712696779486123e+03 1.137250009924173355e-02
3.700564685194911362e+03 1.144430041313171387e-02
3.701416869810506796e+03 1.141129992902278900e-02
3.702269250671450209e+03 1.119630038738250732e-02
3.703121827822941668e+03 1.094499975442886353e-02
3.703974601310176240e+03 1.066770032048225403e-02
3.704827571178375365e+03 1.028199959546327591e-02
3.705680737472754117e+03 1.008899975568056107e-02
3.706534100238554856e+03 1.015990041196346283e-02
3.707387659521014029e+03 1.038719993084669113e-02
3.708241415365394005e+03 1.066229958087205887e-02
3.709095367816952603e+03 1.070030033588409424e-02
3.709949516920973110e+03 1.061659958213567734e-02
3.710803862722733811e+03 1.057959999889135361e-02
3.711658405267539365e+03 1.067060045897960663e-02
3.712513144600688975e+03 1.075410004705190659e-02
3.713368080767507308e+03 1.104069966822862625e-02
3.714223213813314942e+03 1.140480022877454758e-02
3.715078543783457462e+03 1.173510029911994934e-02
3.715934070723275909e+03 1.202099956572055817e-02
3.716789794678137696e+03 1.226780004799365997e-02
3.717645715693408420e+03 1.235220022499561310e-02
3.718501833814463680e+03 1.206049975007772446e-02
3.719358149086702269e+03 1.148070022463798523e-02
3.720214661555517523e+03 1.080880034714937210e-02
